"","iso3c","Country","Region","Continent","Cost_1_GB_USD_month_2018","Cost_1_GB_USD_month_2019","Afford_decile_1_2015","Afford_decile_1_2016","Afford_decile_1_2017","Afford_decile_1_2018","Afford_decile_1_2019","Afford_2015","Afford_2016","Afford_2017","Afford_2018","Afford_2019","Price_data_year_2015","Price_data_year_2016","Price_data_year_2017","Price_data_year_2018","Price_data_year_2019","GNI_WB_capita_2015","GNI_WB_capita_2016","GNI_WB_capita_2017","GNI_WB_capita_2018","GNI_WB_capita_2019","share_bottom_10_2015","share_bottom_10_2016","share_bottom_10_2017","share_bottom_10_2018","share_bottom_10_2019","Decile_1_current_2015","Decile_1_current_2016","Decile_1_current_2017","Decile_1_current_2018","Decile_1_current_2019","surveyyear_2015","surveyyear_2016","surveyyear_2017","surveyyear_2018","surveyyear_2019","A4AI_Income_2018","A4AI_Income_2019","A4AI_Income_month_2018","A4AI_Income_month_2019"
"21","COG","Congo - Brazzaville","Sub-Saharan Africa","Africa",8.87475214222,8.734497999677,NA,NA,NA,0.396194292063393,0.374335628557586,NA,NA,NA,0.07830663655,0.063910960973,NA,NA,NA,131.555149404,111.84418170275,NA,NA,NA,1680,1750,NA,NA,NA,1.6,1.6,NA,NA,NA,268.8,280,NA,NA,NA,"2011","2011",1359.99999998263,1640.00000000632,113.333333331886,136.666666667193
"22","COD","Congo - Kinshasa","Sub-Saharan Africa","Africa",12.57142857143,10.714285714286,NA,NA,NA,1.43673469387771,1.17739403453692,NA,NA,NA,0.33523809524,0.262390670554,NA,NA,NA,167.61904762,136.44314868808,460,470,460,500,520,2.1,2.1,2.1,2.1,2.1,96.6,98.7,96.6,105,109.2,"2012","2012","2012","2012","2012",449.999999997494,489.999999999893,37.4999999997912,40.8333333333244
"23","CRI","Costa Rica","Latin America & Caribbean","Americas",6.57673250707,6.751797777985,0.134666666666667,0.123333333333333,0.076875,0.0453959103162727,0.0461661386528889,0.0202,0.0185,0.0123,0.00714862229,0.007039233131,210.08,199.245,137.145,82.8525323411,82.3590276327,10400,10770,11150,11590,11700,1.5,1.5,1.6,1.5,1.5,1560,1615.5,1784,1738.5,1755,"2015","2016","2017","2018","2018",11040.0000004532,11509.9999997173,920.000000037769,959.166666643108
"24","CIV","Côte d’Ivoire","Sub-Saharan Africa","Africa",7.02085915492,6.850666666315,0.344285714285714,0.302857142857143,0.333809523809524,0.184033005371429,0.170946142640424,0.0723,0.0636,0.0701,0.05470799341,0.051060869563,120.018,117.024,142.303,119.2634256338,116.92939129927,1660,1840,2030,2180,2290,2.1,2.1,2.1,2.1,2.1,348.6,386.4,426.3,457.8,480.9,"2015","2015","2015","2015","2015",1540.00000013965,1609.99999998727,128.333333344971,134.166666665606
"25","CUB","Cuba","Latin America & Caribbean","Americas",9.81030249715,10.007798888526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","DOM","Dominican Republic","Latin America & Caribbean","Americas",7.90517543644,7.898031110882,0.208947368421053,0.0905555555555555,0.0647826086956522,0.0531499917286419,0.0509358700115999,0.0397,0.0163,0.0149,0.01430800984,0.012859752148,261.226,111.818,105.641,111.0301563584,104.03539487732,6580,6860,7090,7760,8090,1.9,1.8,2.3,2.3,2.3,1250.2,1234.8,1630.7,1784.8,1860.7,"2015","2016","2017","2018","2018",6629.99999986581,7369.99999998631,552.499999988817,614.166666665526
"27","ECU","Ecuador","Latin America & Caribbean","Americas",10,10,0.41125,0.2575,0.381875,0.123152709359606,0.123355263157895,0.0658,0.0412,0.0611,0.02037351443,0.019607843137,392.826,239.372,358.046,124.0747028787,119.21568627296,5970,5810,5860,6090,6080,1.6,1.6,1.6,1.6,1.6,955.2,929.6,937.6,974.4,972.8,"2015","2016","2017","2018","2018",5890.00000035831,6120.00000007956,490.833333363192,510.00000000663
"28","EGY","Egypt","Middle East & North Africa","Africa",1.11642294605,1.176265333394,0.0305128205128205,0.0123684210526316,0.00868421052631579,0.0125912362336466,0.0138086323622853,0.0119,0.0047,0.0033,0.0044508556,0.005041137143,39.984,16.262,10.032,12.46239568,13.56065891467,3360,3460,3040,2800,2690,3.9,3.8,3.8,3.8,3.8,1310.4,1314.8,1155.2,1064,1022.2,"2015","2017","2017","2017","2017",3009.9999992361,2800.00000006506,250.833333269675,233.333333338755
"29","SLV","El Salvador","Latin America & Caribbean","Americas",15,10,NA,NA,NA,0.196335078534031,0.125,NA,NA,NA,0.05056179775,0.031413612565,NA,NA,NA,193.146067405,125.65445026,NA,NA,NA,3820,4000,NA,NA,NA,2.4,2.4,NA,NA,NA,916.8,960,NA,NA,NA,"2018","2018",3560.00000019778,3820.00000005412,296.666666683148,318.333333337843
"30","GNQ","Equatorial Guinea","Sub-Saharan Africa","Africa",34.79713271626,34.252933332067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6650,6460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ETH","Ethiopia","Sub-Saharan Africa","Africa",3.55831550652,3.477096666245,0.676896551724138,0.466551724137931,0.332758620689655,0.184050802061379,0.169270425942961,0.1963,0.1353,0.0965,0.05770241362,0.052816658221,117.78,90.651,71.41,46.161930896,44.89415948785,600,670,740,800,850,2.9,2.9,2.9,2.9,2.9,174,194.3,214.6,232,246.5,"2015","2015","2015","2015","2015",739.999999990295,790.000000006627,61.6666666658579,65.8333333338856
"32","FJI","Fiji","East Asia & Pacific","Oceania",12.01021812516,13.941604926917,NA,NA,NA,0.079336462348299,0.0920947149196323,NA,NA,NA,0.02899851459,0.028549361625,NA,NA,NA,169.9312954974,167.2992591225,NA,NA,NA,5860,5860,NA,NA,NA,3.1,3.1,NA,NA,NA,1816.6,1816.6,NA,NA,NA,"2013","2013",4969.99999964205,5860.00000001765,414.166666636838,488.333333334804
"33","GAB","Gabon","Sub-Saharan Africa","Africa",6.96058991546,6.850586666413,NA,NA,NA,0.0555883661556768,0.051826402721571,NA,NA,NA,0.01263647186,0.012089270588,NA,NA,NA,86.3071028038,87.16364093948,NA,NA,NA,6830,7210,NA,NA,NA,2.2,2.2,NA,NA,NA,1502.6,1586.2,NA,NA,NA,"2017","2017",6609.99999928144,6799.99999988055,550.833333273454,566.666666656713
"34","GMB","Gambia","Sub-Saharan Africa","Africa",5.07917301529,5.041019891918,0.470666666666667,0.595,0.510333333333333,0.286150592410704,0.272487561725297,0.1412,0.1785,0.1531,0.13544461374,0.086417483861,87.544,110.67,99.515,96.1656757554,63.94893805714,620,620,650,710,740,3,3,3,3,3,186,186,195,213,222,"2015","2015","2015","2015","2015",450.000000003544,700.000000003657,37.5000000002953,58.3333333336381
"35","GEO","Georgia","Europe & Central Asia","Asia",1.85872570866,1.821788166439,NA,NA,NA,0.0208377321598655,0.0192171747514662,NA,NA,NA,0.00588514736,0.005293331234,NA,NA,NA,26.2477572256,25.09039004916,NA,NA,NA,4460,4740,NA,NA,NA,2.4,2.4,NA,NA,NA,1070.4,1137.6,NA,NA,NA,"2018","2018",3790.00000161763,4130.0000001602,315.833333468136,344.166666680017
"36","GHA","Ghana","Sub-Saharan Africa","Africa",4.09513569442,3.597685142626,0.243125,0.256875,0.2225,0.144194918817606,0.121543416980608,0.0389,0.0411,0.0356,0.03298095861,0.020268648691,75.466,74.802,67.284,70.2494418393,44.99640009402,1940,1820,1890,2130,2220,1.6,1.6,1.6,1.6,1.6,310.4,291.2,302.4,340.8,355.2,"2016","2016","2016","2016","2016",1490.00000012553,2129.99999998431,124.166666677127,177.499999998693
"37","GTM","Guatemala","Latin America & Caribbean","Americas",12.60715109013,12.910507499268,NA,0.247058823529412,0.231176470588235,0.202714475521318,0.197685453606247,NA,0.042,0.0393,0.03726251554,0.035130632651,NA,162.54,160.737,163.5824432206,161.95221652111,3700,3870,4090,4390,4610,1.7,1.7,1.7,1.7,1.7,629,657.9,695.3,746.3,783.7,"2014","2014","2014","2014","2014",4059.99999970909,4410.00000000871,338.333333309091,367.500000000726
"38","GIN","Guinea","Sub-Saharan Africa","Africa",4.74853788531,3.64667778232,NA,NA,NA,0.223460606367529,0.153544327676632,NA,NA,NA,0.06949079832,0.052723052275,NA,NA,NA,59.067178572,50.08689966125,NA,NA,NA,850,950,NA,NA,NA,3,3,NA,NA,NA,255,285,NA,NA,NA,"2012","2012",820.000000018995,829.999999992224,68.3333333349163,69.1666666660186
"39","GNB","Guinea-Bissau","Sub-Saharan Africa","Africa",12.67821734603,12.477854285253,NA,NA,NA,1.267821734603,1.14126716023655,NA,NA,NA,0.23051304266,0.199645668564,NA,NA,NA,172.884781995,163.70944822248,NA,NA,NA,750,820,NA,NA,NA,1.6,1.6,NA,NA,NA,120,131.2,NA,NA,NA,"2010","2010",659.999999985944,750.00000000018,54.9999999988287,62.500000000015
"40","GUY","Guyana","Latin America & Caribbean","Americas",7.89274407744,8.138793445205,NA,NA,NA,NA,NA,NA,NA,NA,0.02123608272,0.020517966669,NA,NA,NA,101.2961145744,106.28306734542,NA,NA,NA,4770,5180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4459.99999990959,4759.9999999035,371.666666659132,396.666666658625
