Region,Subregion,Country_Name,ISO3,Cost_100_MB_USD,Cost_100_MB_Share_GNICM,Cost_500_MB_USD,Cost_500_MB_Share_GNICM,Cost_1_GB_USD,Cost_1_GB_Share_GNICM,Cost_2_GB_USD,Cost_2_GB_Share_GNICM,Cost_5_GB_USD,Cost_5_GB_Share_GNICM,Cost_10_GB_USD,Cost_10_GB_Share_GNICM,GBs_per_2%_GNICM
Americas,Caribbean,Cuba,CUB,7.005459221969,NA,7.005459221969,NA,10.007798888526,NA,20.015597777053,NA,40.031195554106,NA,80.062391108211,NA,NA
Africa,Middle Africa,D.R. Congo,COD,10.714285714286,0.262390670554,10.714285714286,0.262390670554,10.714285714286,0.262390670554,13.214285714286,0.323615160350,25.000000000000,0.612244897959,50.000000000000,1.224489795918,0.076222222222
Americas,Caribbean,Dominican Republic,DOM,7.898031110882,0.012859752148,7.898031110882,0.012859752148,7.898031110882,0.012859752148,11.847046666322,0.019289628222,16.585865332851,0.027005479511,16.585865332851,0.027005479511,1.555239927633
Americas,Southern America,Ecuador,ECU,10.000000000000,0.019607843137,10.000000000000,0.019607843137,10.000000000000,0.019607843137,10.000000000000,0.019607843137,20.000000000000,0.039215686275,40.000000000000,0.078431372549,1.020000000000
Africa,Northern Africa,Egypt,EGY,0.294066333349,0.001260284286,0.588132666697,0.002520568572,1.176265333394,0.005041137143,2.352530666788,0.010082274286,4.705061333577,0.020164548572,8.821990000457,0.037808528573,3.967358838333
Americas,Central America,El Salvador,SLV,10.000000000000,0.031413612565,10.000000000000,0.031413612565,10.000000000000,0.031413612565,15.000000000000,0.047120418848,15.000000000000,0.047120418848,15.000000000000,0.047120418848,0.636666666667
Africa,West Africa,Equatorial Guinea,GNQ,25.689699999050,NA,29.114993332257,NA,34.252933332067,NA,68.505866664135,NA,137.011733328269,NA,274.023466656538,NA,NA
Africa,Eastern Africa,Ethiopia,ETH,3.129386999621,0.047534992399,3.129386999621,0.047534992399,3.477096666245,0.052816658221,6.606483665866,0.100351650621,14.703151617266,0.223339011908,24.339676663717,0.369716607550,0.378668410185
Oceania,Melanesia,Fiji,FJI,13.941604926917,0.028549361625,13.941604926917,0.028549361625,13.941604926917,0.028549361625,13.941604926917,0.028549361625,13.941604926917,0.028549361625,13.941604926917,0.028549361625,0.700541058068
Africa,Middle Africa,Gabon,GAB,5.137939999810,0.009066952941,5.137939999810,0.009066952941,6.850586666413,0.012089270588,10.275879999620,0.018133905882,25.689699999050,0.045334764704,25.689699999050,0.045334764704,1.654359529367
Africa,Western Africa,Gambia,GMB,0.806563182707,0.013826797418,2.923791537312,0.050122140640,5.041019891918,0.086417483861,9.981219385997,0.171106618046,15.526341267107,0.266165850293,26.213303437972,0.449370916080,0.231434648480
Asia,Western Asia,Georgia,GEO,1.821788166439,0.005293331234,1.821788166439,0.005293331234,1.821788166439,0.005293331234,3.279218699590,0.009527996222,4.372291599454,0.012703994962,8.744583198908,0.025407989924,3.778339029827
Africa,Western Africa,Ghana,GHA,0.817655714233,0.004606511066,2.452967142700,0.013819533198,3.597685142626,0.020268648691,6.459480142442,0.036391437422,10.084420475543,0.056813636482,17.170769998897,0.096736732388,0.986745604261
Americas,Central America,Guatemala,GTM,12.910507499268,0.035130632651,12.910507499268,0.035130632651,12.910507499268,0.035130632651,12.910507499268,0.035130632651,12.910507499268,0.035130632651,19.561374998892,0.053228231290,0.569303724150
Africa,Western Africa,Guinea,GIN,3.217656866753,0.046520340242,3.217656866753,0.046520340242,3.646677782320,0.052723052275,5.472205555702,0.079116224902,9.631081778036,0.139244555827,16.143006389321,0.233392863460,0.379340708422
Africa,Western Africa,Guinea-Bissau,GNB,5.137939999810,0.082207039997,7.339914285443,0.117438628567,12.477854285253,0.199645668564,17.126466666034,0.274023466657,17.126466666034,0.274023466657,25.689699999050,0.411035199985,0.100177480152
Americas,Southern America,Guyana,GUY,2.202261755761,0.005551920393,5.745030667204,0.014483270590,8.138793445205,0.020517966669,16.277586890410,0.041035933337,32.828746669734,0.082761546226,54.577791338433,0.137591070601,0.974755458133
Americas,Caribbean,Haiti,HTI,2.034504999993,0.030517575000,2.034504999993,0.030517575000,2.034504999993,0.030517575000,2.034504999993,0.030517575000,3.255207999989,0.048828120000,5.086262499983,0.076293937500,0.655360067111
Americas,Central America,Honduras,HND,18.760961996957,0.096622980242,18.760961996957,0.096622980242,18.760961996957,0.096622980242,22.278642371387,0.114739789037,28.141442995436,0.144934470363,49.582542420530,0.255360733496,0.206990096455
Asia,Southern Asia,India,IND,0.430773999972,0.002559053465,0.507697928538,0.003016027298,0.753854499951,0.004478343564,0.753854499951,0.004478343564,1.457452033239,0.008658130891,2.864647099814,0.017017705543,4.465936950546
Asia,South-Eastern Asia,Indonesia,IDN,3.859724610895,0.012061639409,3.859724610895,0.012061639409,3.859724610895,0.012061639409,4.070255044216,0.012719547013,8.140510088432,0.025439094026,12.210765132649,0.038158641040,1.658149387636
Asia,Southern Asia,Iran,IRN,1.920000000192,NA,1.920000000192,NA,1.920000000192,NA,3.840000000384,NA,6.120000000612,NA,8.820000000882,NA,NA
Americas,Caribbean,Jamaica,JAM,2.032462947177,0.004887686446,3.929428364542,0.009449527129,7.723359199272,0.018573208495,10.975299914755,0.026393506809,16.693295672813,0.040144198011,22.763585008382,0.054742088197,1.076819872297
Asia,Western Asia,Jordan,JOR,4.090594999894,0.011659653206,5.726832999851,0.016323514489,8.181189999787,0.023319306413,11.086922999712,0.031601680759,11.086922999712,0.031601680759,11.453665999702,0.032647028978,0.857658441724
Asia,Central Asia,Kazakhstan,KAZ,2.075089488733,0.003180213776,2.075089488733,0.003180213776,2.075089488733,0.003180213776,2.075089488733,0.003180213776,4.176445933020,0.006400683422,8.352891866040,0.012801366845,6.288885405114
Africa,Eastern Africa,Kenya,KEN,1.481422916627,0.010973503086,2.610126091200,0.019334267342,4.190310535602,0.031039337301,4.938076388757,0.036578343620,9.876152777514,0.073156687241,19.752305555028,0.146313374482,0.644343653545
Asia,Central Asia,Kyrgyzstan,KGZ,3.070477563426,0.030201418657,3.070477563426,0.030201418657,3.070477563426,0.030201418657,3.070477563426,0.030201418657,3.786922328225,0.037248416343,6.059075725160,0.059597466149,0.662220547564
Asia,South-Eastern Asia,Laos,LAO,1.151974999968,0.005619390244,2.303949999935,0.011238780487,4.607899999870,0.022477560975,4.937035714147,0.024083101045,4.937035714147,0.024083101045,6.911849999805,0.033716341462,0.889776253850
Asia,Western Asia,Lebanon,LBN,11.100000000000,0.017321196359,11.100000000000,0.017321196359,21.090000000000,0.032910273082,28.860000000000,0.045035110533,28.860000000000,0.045035110533,36.630000000000,0.057159947984,0.607712976134
Africa,Southern Africa,Lesotho,LSO,4.171511999523,0.036274017387,5.363372570816,0.046638022355,5.363372570816,0.046638022355,7.866279770529,0.068402432787,14.898257141154,0.129550062097,23.837211425847,0.207280099355,0.428834650144
Africa,Western Africa,Liberia,LBR,1.150000000000,0.023000000000,4.600000000000,0.092000000000,8.625000000000,0.172500000000,11.500000000000,0.230000000000,27.370000000000,0.547400000000,27.600000000000,0.552000000000,0.115942028986
Africa,Northern Africa,Libya,LBY,3.072346665626,0.005824353868,7.373631997502,0.013978449284,11.367682662815,0.021550109313,11.470094218336,0.021744254442,17.922022216150,0.033975397566,17.922022216150,0.033975397566,0.928069538263
Africa,Eastern Africa,Madagascar,MDG,2.739632777803,0.074717257576,3.522385000033,0.096065045455,5.988054500056,0.163310577274,6.849081944508,0.186793143941,18.101145139058,0.493667594702,31.505776944738,0.859248462129,0.122466041905
Africa,Eastern Africa,Malawi,MWI,1.746630714264,0.058221023809,3.493261428529,0.116442047618,4.754716944386,0.158490564813,6.792452777695,0.226415092590,14.264150833159,0.475471694439,21.056603610853,0.701886787028,0.126190477166
Asia,South-Eastern Asia,Malaysia,MYS,3.616636666678,0.004149105163,3.616636666678,0.004149105163,3.616636666678,0.004149105163,3.616636666678,0.004149105163,7.233273333355,0.008298210325,7.233273333355,0.008298210325,4.820316481873
Africa,Western Africa,Mali,MLI,1.798278999934,0.025999214457,3.425293333207,0.049522313251,6.850586666413,0.099044626502,8.563233333017,0.123805783128,17.126466666034,0.247611566256,34.252933332067,0.495223132512,0.201929177849
