"","country","0_1","1_2","2_5","5_10","10_20","20_50","50_100","100_200","200_500","500_1000","1000_5000"
"26","Ecuador",0.00959888395971542,0.015626807603345,0.0523219004576282,0.0690100200633642,0.101945147717784,6.51050209092287e-06,0.224603207433912,0.166957218689468,0.359930303572693,0,0
"27","Egypt",0.419779668126012,0.199220724981855,0.204681753153389,0.105681395945783,0.0706068400768984,2.96177160612387e-05,0,0,0,0,0
"28","Estonia",0.00625813263934811,0.026172433285693,0.0702046758676593,0.10179931312528,0.143739734209347,2.13315130442202e-05,0.0884537852769897,0.563350594082638,0,0,0
"29","Ethiopia ",0.270985563917316,0.333381369425094,0.326372203613768,0.0554047437511366,0.0138561192926854,0,0,0,0,0,0
"30","Fiji",0.0230184625985449,0.032693593822832,0.132113977666538,0.176890339055185,0.172940437346736,0.000332367306406177,0.193484384816489,0.268526437387269,0,0,0
"31","Finland",0,0.0186605970202473,0.0500834972573677,0.123644283855018,0.324771645401114,2.08000285257534e-05,0.355618087704806,0.127201088732922,0,0,0
"32","France",0,0.00857576592107124,0.0159832859940267,0.0228467303517067,0.0505869060028096,5.01601402930582e-06,0.370063716322725,0.531938579393632,0,0,0
"33","French Guiana",0.0390593862096453,0.178457552809884,0.517038660821044,0.174471901155839,0.0907732164208848,0.000199282582702272,0,0,0,0,0
"34","French Polynesia ",0.28721251149954,0.184544618215271,0.201839926402944,0.165225390984361,0.157681692732291,0.00349586016559338,0,0,0,0,0
"35","Georgia",0.250598394645528,0.243905305002074,0.127591721531749,0.0501311944274388,0.0416590777965916,0.000110454779930602,0.0388107545354025,0.0498139306978509,0.084363950849973,0.113015215733461,0
"36","Germany",0,0.00430850733437639,0.0276522745593854,0.0481838614787072,0.10646825074872,7.28369401444235e-06,0.275040985953194,0.156611493358923,0.103892925381725,0.0797634633857132,0.198070954105242
"37","Greece",0,0.139561727428407,0.25175036244879,0.249736056456135,0.233590036320652,4.54639597088286e-05,0.0712647568435888,0.0540515965427184,0,0,0
"38","Grenada ",0.258067739034869,0.194824657807973,0.278849035867719,0.159656309321611,0.0979118793086222,0.0106903786592067,0,0,0,0,0
"39","Guadeloupe ",0.0692878508973769,0.170444086516337,0.442734698573401,0.216837321675104,0.100350897376898,0.000345144960883571,0,0,0,0,0
"40","Guam",0.0366598778004073,0.054989816700611,0.242362525458248,0.289205702647658,0.238289205702648,0.138492871690428,0,0,0,0,0
"41","Guatemala",0.181606708615678,0.105019238334661,0.150113661157504,0.14394646390523,0.0835548220573984,9.17799766962295e-06,0.0506154056028338,0.0455554086148858,0.0698862804370562,0.103428941647542,0.066263891629541
"42","Guinea ",0.0981264375516402,0.223374868805967,0.418919854402537,0.259578839239856,0,0,0,0,0,0,0
"43","Guinea Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Honduras",0,0,0.312023535431057,0.277061852803452,0.410828967711079,8.56440544117811e-05,0,0,0,0,0
